Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
~Intial version based on Kona and e-Niro EV
~Source: GitHub 18 Aug 2019
~https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Hyundai%20Kona%20EV%20%26%20Kia%20Niro%20EV
~
~Zuinige Rijder
~20210907 V1 Adapted for IONIQ 5 72 kWh AWD
~Added Cell Voltage 092 till 184
~Added 000_Battery Module 05 Temperature and 000_Battery Module 06 Temperature
~Changed some calculations to use 72 kWh instead of 64 kWh and use the Torque for the IONIQ 5 AWD 72 kWh
~Added experimental Odometer
~Added experimental Tires information
~
~20210908 V2 Fixes and new features
~Fixed tire pressures
~Fixed Odometer
~Removed Battery Module 06 Temperature
~Shortened Short names of several formula's
~Fixed CALC Average Battery Module Temperature
~Fixed CALC Average Cell Voltage
~Added estimated charging time from current SOC to 80% for 2.3/3.7/7.4/11/50/100/150/175/350kWh chargers using evdatabase 10% to 80% estimations.
~
~20210910 V3 All known battery temperatures
~Added 16 battery pack temperatures
~Removed inlet temperature
~Removed heater 2 temperature
~Shortened names even more, do not put e.g. T in shortname when the symbol is C, Same for V and A.
~Fixed Indoor and Outdoor to properly show Celcius
004_CALC Estimated time 50kW 80% Charge,50kW80,0x220105,(MAX(0:(0.8-(val{000_State of Charge Display}/100))))*92,0,3600,minutes,7E4
004_CALC Estimated time 100kW 80% Charge,100kW80,0x220105,(MAX(0:(0.8-(val{000_State of Charge Display}/100))))*52,0,3600,minutes,7E4
004_CALC Estimated time 150kW 80% Charge,150kW80,0x220105,(MAX(0:(0.8-(val{000_State of Charge Display}/100))))*38,0,3600,minutes,7E4
004_CALC Estimated time 175kW 80% Charge,175kW80,0x220105,(MAX(0:(0.8-(val{000_State of Charge Display}/100))))*33,0,3600,minutes,7E4
004_CALC Estimated time 350kW 80% Charge,350kW80,0x220105,(MAX(0:(0.8-(val{000_State of Charge Display}/100))))*26,0,3600,minutes,7E4
000_Airbag H/wire Duty,Airbag,0x220105,w,50,100,,7E4
000_Auxillary Battery Voltage,Aux,0x220101,ad*0.1,6.0,15.0,V,7E4
000_Auxillary Battery SOC,Aux SOC,0x22E011,u,0,100,%,7E5
000_Available Charge Power,MaxREGEN,0x220105,((q<8)+r)/100,0,270,kW,7E4
000_Available Discharge Power,MaxPOWER,0x220105,((s<8)+t)/100,0,270,kW,7E4
000_Battery Cell Voltage Deviation,CellDiff,0x220105,u/50,0,1,V,7E4
000_Battery Current,Batt,0x220101,((Signed(K)*256)+L)/10,-200,200,A,7E4
000_Battery DC Voltage,Batt,0x220101,((m<8)+n)/10,400,840,V,7E4
000_Battery Heater 1 Temperature,Heater,0x220105,Signed(X),0,80,C,7E4
000_Battery Max Temperature,Batt Max,0x220101,Signed(O),-40,80,C,7E4
000_Battery Min Temperature,Batt Min,0x220101,Signed(P),-40,80,C,7E4
000_Battery Pack B01,B01,0x220101,Signed(Q),-40,80,C,7E4
000_Battery Pack B02,B02,0x220101,Signed(R),-40,80,C,7E4
000_Battery Pack B03,B03,0x220101,Signed(S),-40,80,C,7E4
000_Battery Pack B04,B04,0x220101,Signed(T),-40,80,C,7E4
000_Battery Pack B05,B05,0x220101,Signed(U),-40,80,C,7E4
000_Battery Pack B06,B06,0x220105,Signed(J),-40,80,C,7E4
000_Battery Pack B07,B07,0x220105,Signed(K),-40,80,C,7E4
000_Battery Pack B08,B08,0x220105,Signed(L),-40,80,C,7E4
000_Battery Pack B09,B09,0x220105,Signed(M),-40,80,C,7E4
000_Battery Pack B10,B10,0x220105,Signed(N),-40,80,C,7E4
000_Battery Pack B11,B11,0x220105,Signed(O),-40,80,C,7E4
000_Battery Pack B12,B12,0x220105,Signed(P),-40,80,C,7E4
000_Battery Pack B13,B13,0x220105,Signed(AN),-40,80,C,7E4
000_Battery Pack B14,B14,0x220105,Signed(AO),-40,80,C,7E4
000_Battery Pack B15,B15,0x220105,Signed(AP),-40,80,C,7E4
000_Battery Pack B16,B16,0x220105,Signed(AQ),-40,80,C,7E4
000_Battery Power,Energy kW,0x220101,val{000_Battery Current}*val{000_Battery DC Voltage}/1000,-270,270,,7E4
000_Battery Remaining Energy,Remaining energy,0x220105,((ac < 8) + ad) *2,0,77000,Wh,7E4
000_BMS Ignition,Ignition,0x220101,{ay:2},0,1,,7E4
000_BMS Main Relay,Relay,0x220101,{j:0},0,1,,7E4
000_Cumulative Charge Current,CCC,0x220101,((ae<24)+(af<16)+(ag<8)+ah)/10,0,1000000,Ah,7E4
000_Cumulative Discharge Current,CDC,0x220101,((ai<24)+(aj<16)+(ak<8)+al)/10,0,1000000,Ah,7E4
000_Cumulative Energy Charged,CEC,0x220101,((am<24)+(an<16)+(ao<8)+ap)/10,0,1000000,kWh,7E4
000_Cumulative Energy Discharged,CED,0x220101,((aq<24)+(ar<16)+(as<8)+at)/10,0,1000000,kWh,7E4
000_Drive Motor Speed Rear,RPMR,0x220101,(Signed(BB)*256)+BC,-10100,10100,rpm,7E4
000_Drive Motor Speed Front,RPMF,0x220101,(Signed(BD)*256))+BE,-10100,10100,rpm,7E4
000_HV_Charging,Charging,0x220101,{j:7},0,1,,7E4
